Id	Name	Enroll	Score	Certificate
280	Aldric	+	197.271	11.22
281	Pillsbury	-	139.369	12.53
282	Fadiman	+	125.72	11.26
283	August	+	131.773	11.73
284	Daveta	+	105.085	11.57
285	Bigner	+	124.921	12.47
286	Bari	-	116.867	9.59
287	Gerge	-	103.831	9.13
288	Clywd	+	147.987	11.75
289	Percy	-	136.896	10.84
290	Bluh	-	110.428	12.31
291	Berard	+	135.345	9.55
292	Ajay	+	157.982	10.29
293	Hartnett	-	172.976	12.07
294	Toni	-	171.45	12.33
295	Cullin	-	186.87	9.94
296	Wolfgram	+	135.416	11.46
297	Havens	+	115.966	10.78
298	Hanleigh	-	129.027	12.64
299	Nickola	-	150.634	10.49
300	Gavrila	+	125.943	9.58
301	Deny	-	165.002	10.19
302	Sibyls	+	134.107	12.23
303	Orelee	+	172.591	9.32
304	Lacombe	-	174.077	10.52
305	Medrek	-	118.41	10.68
306	Autrey	-	159.467	10.95
307	Prober	-	143.953	10.4
308	Freddi	-	119.479	9.73
309	Kiersten	-	184.975	11.41
310	Denis	+	199.211	11.12
311	Chobot	+	147.855	12.51
312	Emmy	-	193.458	9.2
313	Jorgan	-	170.867	10.72
314	Stephie	-	196.964	10.69
315	Eiser	-	134.524	9.49
316	Read	-	107.367	9.74
317	Germann	-	178.938	12.64
318	Kronfeld	+	151.808	12.97
319	Frodi	-	153.915	9.68
320	Lalitta	+	181.059	10.23
321	Eliathas	-	134.76	12.81
322	Nikaniki	+	150.025	12.02
323	Curren	-	140.306	9.47
324	Linehan	+	145.67	11.76
325	Winnick	+	167.934	9.88
326	Nerita	-	193.42	11.34
327	Talia	+	176.619	11.93
328	Jena	+	100.809	10.51
329	Dowski	+	185.367	11.22
330	Ranjiv	-	108.086	11.68
331	Berl	-	146.151	10.44
332	Fiester	+	200.875	12.92
333	Aurelio	+	143.814	11.37
334	Fax	-	177.229	9.65
335	Magnolia	-	188.894	12.4
336	Sheedy	-	164.522	9.54
337	August	+	124.825	10.2
338	Lewes	+	126.627	11.27
339	Madaih	-	108.161	12.58
340	Leifeste	-	164.569	11.12
341	Gualtiero	+	114.375	12.87
342	Lumbard	+	174.911	12.74
343	Maisey	-	124.548	11.09
344	Newell	-	165.014	9.41
345	Adamsen	-	116.057	10.13
346	Sadowski	-	113.93	11.55
347	Sheedy	+	142.006	10.6
348	Auberbach	+	173.441	10.09
349	Dearborn	-	175.281	12.48
350	Lail	-	123.46	10.04
351	Geffner	+	170.39	9.96
352	Ailyn	-	173.376	11.37
353	Leopold	-	199.1	12.05
354	Maxi	-	114.045	10.48
355	Burkle	-	121.844	9.91
356	Weinreb	-	101.786	12.87
357	Holbrook	-	179.371	10.1
358	Juliet	-	191.019	10.53
359	Olin	-	107.375	12.06
360	Kirstin	-	126.974	10.55
361	Modie	-	177.096	10.27
362	Lorenz	+	117.82	12.86
363	Junie	-	114.951	9.61
364	Timon	+	110.097	11.33
365	Llovera	-	104.758	11.3
366	Cosenza	+	115.999	11.57
367	Hamil	-	167.617	9.67
368	Gamaliel	+	187.645	9.56
369	Tengdin	-	179.12	10.09
370	Barbey	+	151.844	12.58
371	Waldron	+	108.39	10.04
372	Hermes	+	131.914	12.58
373	Cornelia	+	154.55	13
374	Yate	-	141.067	9.53
375	Kauppi	+	190.646	9.6
376	Granoff	+	118.412	12.94
377	Clywd	+	191.361	10.18
378	Paine	+	164.664	12.29
379	Dudley	-	172.941	10.62
380	Hunfredo	-	117.076	9.87
381	Wind	-	116.159	12.36
382	Arley	+	159.24	10.91
383	Turne	-	106.868	12.72
384	Felecia	+	147.469	12.63
385	Melleta	-	129.984	10.82
386	Amasa	+	114.054	10.57
387	Wenoa	+	135.605	10.58
388	Ruvolo	+	117.49	11.65
389	Susannah	-	110.944	9.47
390	Yuille	-	179.986	12.04
391	Hilbert	-	105.172	12.58
392	Greenwald	+	198.861	11.65
393	Johanna	+	171.541	9.02
394	Bibi	-	119.218	10
395	Allina	+	181.975	12.89
396	Phi	-	161.922	9.23
397	Klemperer	-	104.158	11.75
398	Nisbet	-	157.04	12.02
399	Dominy	-	161.717	10.13
400	Taam	+	180.988	9.37
401	Melony	+	160.735	9.94
402	Fennessy	+	129.967	11.73
403	Madox	-	176.875	11.92
404	Destinee	-	154.61	10.14
405	Berl	+	154.666	12.11
406	Lissi	+	160.092	10.9
407	Agle	-	199.431	9.8
408	Morehouse	+	180.893	10.43
409	Timon	+	132.99	11.86
410	Fleeta	+	110.958	10.53
411	Colleen	+	198.324	9.91
412	Sasnett	+	148.799	9.11
413	Ovid	+	115.267	9.64
414	Ietta	+	175.692	11.27
415	Glovsky	+	157.628	9.27
416	Raama	-	160.753	9.85
417	Valoniah	+	135.688	10.5
418	Franza	+	189.015	9.05
419	Peg	+	135.539	9.04
420	Atonsah	-	198.365	9.55
421	Greyson	-	106.037	12.02
422	Alrich	-	191.939	9.52
423	Johanna	-	158.841	9.25
424	Joachim	-	160.192	10.12
425	Brandice	+	178.053	11.41
426	Monk	+	107.787	10.54
427	Bashemeth	+	135.759	11.42
428	Marijo	-	105.513	9.26
429	Rooney	+	145.816	10.88
430	Mich	+	192.607	12.69
431	Quent	-	160.417	9.35
432	Flita	-	179.756	12.68
433	Georas	+	111.219	9.34
434	Reinke	-	188.113	11.25
435	Ochs	-	163.564	12.96
436	Kristi	+	200.964	10.81
437	Sundin	-	136.421	9.84
438	Haerr	-	175.593	9.25
439	Earlie	+	153.248	9.5
440	Kristi	-	101.609	11.5
441	Xerxes	-	198.89	11.74
442	Sallyann	+	135.942	11.47
443	Fosque	-	135.552	9.41
444	Teryn	+	173.394	12.54
445	Emerson	-	124.427	12.68
446	Duwalt	+	103.013	10.6
447	Francyne	+	113.754	10.43
448	Heidt	-	128.965	10.66
449	Georgy	+	187.54	10.24
450	Ailyn	+	105.18	12.08
451	Montgomery	+	104.755	12.05
452	Kiyoshi	-	100.342	10.9
453	Natalia	+	153.938	11.81
454	Selway	-	153.319	11.83
455	Reidar	-	116.36	12.52
456	Corilla	-	157.14	12.48
457	Lemuela	-	147.766	11.87
458	Erb	-	196.866	9.63
459	Arley	-	187.994	11.34
460	Martsen	-	140.322	11.43
461	Olnee	+	190.293	11.4
462	Jerold	+	199.218	10.58
463	Rad	-	127.982	9.61
464	Pacorro	+	127.291	10.08
465	Joachim	-	174.785	9.3
466	Elisha	-	141.816	9.45
467	Kronfeld	-	184.66	11.22
468	Tound	+	139.199	10.41
469	Muriel	+	178.082	10.79
470	Francene	+	106.701	9.45
471	Teddman	+	157.961	10.35
472	Kronfeld	+	118.935	12.97
473	Sekofski	-	104.194	9.49
474	Oscar	+	190.505	10.37
475	Taima	+	173.449	12.49
476	Cecile	+	137.059	9.78
477	Halla	-	103.242	11.91
478	Cutlerr	+	172.197	11.51
479	Lubin	+	176.828	9.03
480	Dorcy	+	110.247	9.48
481	Keelia	+	155.557	9.27
482	Connelly	+	153.005	12.91
483	Selway	+	138.585	9.37
484	Gahl	-	167.394	9.8
485	Mallon	+	199.548	12.05
486	Jobi	-	165.008	10.77
487	Ardra	-	187.422	9.91
488	Roarke	+	143.689	12.76
489	Faso	-	188.71	9.57
490	Cimbura	-	132.044	11.86
491	Hourigan	+	115.573	12
492	Imelida	+	124.593	9.41
493	Anestassia	+	139.331	12.29
494	Muriel	-	101.489	11.86
495	Hepsibah	-	194.497	9.19
496	Merriott	+	105.974	9.18
497	Arley	+	185.656	11.12
498	Norvol	+	178.315	10.08
499	Brackely	+	114.224	10.61
500	Stefa	+	167.793	10.01
501	Eldrid	+	107.551	9.63
502	Helve	+	132.806	10.29
503	Muriel	-	142.069	10.53
504	Chobot	+	152.017	9.99
505	Brodench	+	145.505	12.05
506	Mendez	+	166.281	11.2
507	Jammal	-	153.964	12.9
508	Blase	-	123.787	11.7
509	Couture	-	155.505	11.34
510	Carbo	+	115.182	12.87
511	Klotz	+	101.077	12.84
512	Hirsch	-	163.641	10.4
513	Goddard	-	139.192	9.29
514	Raseda	+	155.161	11.32
515	Mayeda	-	155.635	11.32
516	Fiann	+	191.863	12.69
517	Diogenes	-	176.304	11.39
518	Capello	-	115.839	12.11
519	Bouchard	-	146.198	11.13
520	Ulphia	-	133.553	12.67
521	Zeeba	-	100.508	9
522	Smitt	-	101.622	9.86
523	Rosemary	-	190.784	11.05
524	Hilbert	-	166.636	9.65
525	Elo	-	112.168	11.18
526	Mozelle	-	148.271	9.8
527	Hilbert	-	116.628	9.65
528	Schwejda	-	126.581	9.55
529	Pettiford	-	163.839	12.9
530	Ferrell	-	156.278	9.39
531	Dreda	-	192.102	11.82
532	Hachmin	-	168.485	10.55
533	Pulsifer	+	184.482	12.45
534	Marsden	-	117.491	12.05
535	Baylor	+	122.831	9.36
536	Carey	+	184.137	11.23
537	Harday	+	118.827	9.8
538	Albertine	-	125.131	9.8
539	Bigner	-	193.805	11.8
540	Radu	-	118.252	12.59
541	Wareing	+	178.858	11.11
542	Barbey	-	199.521	12.77
543	Buffum	+	104.47	12.14
544	Bates	-	109.984	12.53
545	Seagraves	-	106.2	10.2
546	Nea	+	189.926	12.44
547	Pernick	+	138.148	11.26
548	Sibyls	+	105.963	12.21
549	Bates	-	149.283	10.22
550	Barrus	+	149.408	9.03
551	Longfellow	-	138.573	9.3
552	Calhoun	-	159.464	9.49
553	Angelis	+	149.123	12.62
554	Presber	-	142.643	10.21
555	Elbertina	-	187.35	12.29
556	Bonucci	-	162.232	9.79
557	Jobi	-	112.881	11.25
558	Curren	+	188.954	9.62
559	Fulmer	+	175.393	12.95
560	McCutcheon	-	106.275	12.37
561	Nahum	-	108.017	11.5
562	Newell	+	178.914	9.11
563	Lewes	-	186.588	9.96
564	Mich	+	161.245	11.79
565	Primalia	-	116.934	12.4
566	Louanna	-	142.549	12.91
567	Grobe	-	163.632	12.85
568	Norrie	-	168.704	10.48
569	Curren	-	115.905	12.62
570	Maxi	-	140.877	11.26
571	Vilma	-	123.52	10.92
572	Sholley	-	146.093	9.59
573	Fiann	-	160.871	11.49
574	Hartnett	+	116.367	9.93
575	Milde	-	120.701	11.57
576	Edvard	-	164.471	9.97
577	Brackely	+	158.123	10.78
578	Hailee	-	128.809	11.08
579	Maurine	-	195.177	12.58
580	Jenness	-	144.588	12.71
581	Solitta	-	173.205	11.18
582	Belldas	-	120.753	9.38
583	Codding	+	130.74	11.31
584	Hurley	-	121.054	12.43
585	Bahr	-	140.34	10.46
586	Roarke	+	116.169	9.13
587	Etom	-	186.013	12.02
588	Ariella	+	177.385	9.4
589	Niccolo	-	125.405	10.68
590	Mitzi	-	131.794	10.96
591	Michella	-	101.073	11.28
592	Taima	+	104.088	11.75
593	Imelida	+	195.009	11.82
594	Geffner	+	179.492	10.33
595	Chobot	+	120.848	9.2
596	Linehan	-	158.191	9.79
597	Hashim	+	198.212	12.84
598	Thornburg	+	110.268	12.74
599	Christine	+	182.518	9.97
600	Saree	+	125.338	12.34
601	Evangelia	+	152.402	12.14
602	Hourigan	-	153.78	9.04
603	Rheingold	-	115.107	11.29
604	Zetta	+	128.452	9.96
605	Jenness	-	124.57	10.25
606	Moina	-	161.138	12.78
607	Wenda	-	116.407	11.1
608	Tamsky	-	107.928	11.09
609	Nester	+	188.856	11.02
610	Chapland	-	138.3	12.29
611	Eldrid	+	163.313	10.65
612	Marsden	+	131.398	11.59
613	Drus	+	120.717	12.91
614	Tice	-	121.303	9.93
615	Cyrie	+	145.044	11.78
616	Fiester	+	163.833	9.22
617	Dyche	-	195.463	10.75
618	Fulmer	+	120.585	10.84
619	Kunin	-	172.608	12.4
620	Brian	-	103.089	11.14
621	Nikaniki	+	107.552	10.13
622	Ivens	-	118.206	11.93
623	Felizio	-	116.985	9.34
624	Joeann	-	181.919	11.51
625	Millda	+	113.279	11.57
626	Papageno	-	192.636	12.43
627	Germann	-	103.707	10.17
628	Erlandson	+	100.387	12.41
629	Kirbee	+	155.367	11.01
630	Andrel	-	186.259	12.56
631	Bendick	-	190.044	9.51
632	Bennie	+	101.339	9.75
633	Izaak	+	134.806	10.32
634	Hepsibah	+	141.222	9.63
635	Concha	+	102.447	9.51
636	Woodberry	+	136.648	10.37
637	Bollay	-	127.871	11.76
638	Hurley	+	115.139	12
639	Ophelia	+	160.739	11.71
640	Peti	-	118.159	11.77
641	Kinnard	+	193.851	9.03
642	Weinreb	+	174.162	10.42
643	Lattie	+	163.665	10.75
644	Palocz	+	100.676	10.11
645	Fry	-	117.168	9.13
646	Grobe	+	146.871	11.16
647	Dituri	-	198.421	10.71
648	Haymes	-	142.858	12.51
649	Ivens	-	113.387	11.5
650	Martsen	-	101.485	10.91
651	Kiyoshi	+	125.333	9.92
652	Maurine	+	113.363	10.05
653	Maxi	-	111.958	9.16
654	Maryanne	-	190.196	12.88
655	Harned	+	179.492	9.34
656	Rosette	-	183.874	12.97
657	Kiersten	+	122.544	9.03
658	Catie	+	172.724	9.71
659	Graig	-	119.102	12.65
660	Llovera	+	156.103	11.52
661	Lalitta	+	198.651	12.25
662	Bow	+	188.168	12.87
663	Cath	+	165.17	12.05
664	Radu	-	182.499	10.95
665	Buffum	+	173.063	11.55
666	Howlyn	-	174.983	12.19
667	Henrie	+	137.725	12.36
668	Masao	-	133.554	10.05
669	Ingra	-	158.805	9.77
670	Tyson	+	116.659	11.4
671	Frendel	-	169.516	10.64
672	Pattin	-	116.697	9.58
673	Shuler	-	109.479	11.73
674	Vale	-	197.967	12.38
675	Kevon	+	171.003	10.01
676	Kamaria	+	199.949	11.96
677	Ovid	+	100.128	11.97
678	Gino	+	152.51	10.84
679	Yerkovich	-	197.914	12.27
680	Malanie	+	144.414	9.54
681	Jacobah	-	184.811	9.21
682	Pozzy	-	193.674	10.14
683	Stilwell	+	104.631	12.06
684	Mullane	-	172.238	11.23
685	Marisa	+	139.174	11.18
686	Pelagias	-	129.032	11.16
687	Fink	+	180.532	11.79
688	Grimbly	+	188.344	11.2
689	Carleen	-	178.759	10.61
690	Ursulette	-	101.196	9.2
691	Reneta	+	169.897	10.03
692	Lilas	-	107.712	9.12
693	Read	+	197.245	10.19
694	Magdalen	-	192.499	9.34
695	Kiyoshi	-	124.05	9.46
696	Havens	-	161.826	12.92
697	Giff	+	161.336	12.54
698	Cordi	-	157.36	11
699	Kauppi	+	175.312	12.85
700	Kiyoshi	+	106.269	9.65
701	Kiersten	+	104.422	9.04
702	Bartlett	+	124.82	12.22
703	Tound	-	141.491	10.32
704	Thomasina	-	137.959	12.28
705	Nea	+	113.911	10.02
706	Lauraine	+	171.13	12.91
707	Kevon	-	193.988	10.06
708	Catie	+	179.058	9.01
709	Cecile	-	144.135	10.16
710	Sibyls	-	160.359	10.82
711	Vanni	+	169.349	12.3
712	Libna	-	153.069	12.24
713	Genna	-	171.113	10.37
714	Bronk	+	198.8	12.88
715	Colp	+	146.045	10.93
716	Dimitris	+	185.572	11.04
717	Ashok	-	105.795	12.27
718	Justinn	+	191.247	10.51
719	Michella	-	178.775	11.71
720	Nester	+	124.804	11.09
721	Concha	+	131.921	11.7
722	Lesley	+	138.857	12.57
723	Stephie	-	191.7	12.64
724	Stelle	+	196.598	9.38
725	Baptlsta	+	138.408	12.3
726	Dielu	-	198.787	12.49
727	Obed	-	128.268	12.46
728	Fosque	-	125.309	11.58
729	Yuille	-	157.109	9.96
730	Lane	+	133.752	9.34
731	Oster	-	104.857	12.62
732	Middleton	-	125.634	10.05
733	Erb	-	177.952	9.53
734	Lane	+	141.594	11.8
735	Aldric	-	191.96	10.07
736	Graig	-	136.396	12.43
737	Myrilla	-	155.299	9.53
738	Si	+	178.205	9.72
739	Pettiford	-	148.704	10.13
740	Celestine	+	120.723	12.71
741	Berne	-	138.443	10.41
742	Hull	-	119.358	11.12
743	Toor	+	174.78	10.72
744	Huggins	+	175.727	12.44
745	Keily	-	106.602	9.29
746	Darian	-	101.605	11.68
747	Sinegold	-	132.234	12.08
748	Mehalek	+	188.639	10.19
749	Orpah	-	119.853	11.15
750	Borrell	+	113.351	9.46
751	Raseda	-	164.828	12.57
752	Wildermuth	+	192.922	10.44
753	Joli	-	169.642	12.4
754	Geffner	+	112.655	9.43
755	Halsey	-	185.321	11.54
756	Tryck	+	128.649	9.63
757	LaRue	-	136.58	11.42
758	Euridice	+	193.058	10.06
759	Graig	-	126.911	12.09
760	Gibbeon	-	106.38	11.96
761	Travax	-	147.016	11.41
762	Eliathas	-	152.419	11.06
763	Maples	+	126.211	12.94
764	Whittaker	+	158.824	11.47
765	Rooney	-	169.115	10.42
766	Goth	-	138.153	12.64
767	Fry	+	131.417	11.56
768	Eachern	+	106.943	9.68
769	Stav	-	104.514	12.34
770	McLaughlin	-	151.557	12.18
771	Pascia	-	160.307	11.55
772	Voletta	+	149.375	10.54
773	Ax	-	160.598	9.45
774	Revkah	-	169.418	10.33
775	Susannah	-	150.321	11.44
776	Catie	-	131.261	9.05
777	Hurley	-	200.503	11.14
778	Cookie	+	117.671	9.8
779	Bertold	+	109.401	10.61
780	Bobbee	+	121.983	11.97
781	Thunell	-	112.071	12.86
782	Kenwood	-	122.727	12.31
783	Nerita	-	154.575	9.86
784	Lesley	-	148.401	12.94
785	Yate	-	166.069	11.3
786	Pip	-	174.539	10.54
787	Loring	-	183.671	10.76
788	Fry	+	141.253	10.75
789	Brian	-	149.928	12.17
790	Tristram	+	195.477	10.93
791	Wiener	+	198.8	11.64
792	Kat	+	133.862	10.2
793	Ivens	+	120.349	12.33
794	Lymann	-	141.437	11.87
795	Tremayne	+	182.982	11.76
796	Shirberg	+	159.566	12.75
797	Pitt	-	189.065	9.24
798	Martsen	+	159.733	9.71
799	Kylander	+	144.021	9.79
800	Kermit	+	127.984	12.33
801	Brittani	+	129.979	11.53
802	Nerita	-	155.201	12.63
803	Lesley	+	135.434	11.7
804	Grimbly	-	121.456	11.19
805	Laverne	-	122.074	12.95
806	Kiersten	-	102.945	9.41
807	Cynar	-	171.72	12.88
808	Eckblad	-	132.762	11.43
809	Macey	+	140.595	12.63
810	Dannye	-	122.108	12.75
811	Sigfrid	-	126.98	11.29
812	Morehouse	+	121.458	11.92
813	Korey	-	106.521	11.68
814	Kevon	+	146.212	9.89
815	Pattin	-	125.25	11.9
816	Zenas	-	139.453	12.8
817	Weinreb	+	167.986	10.56
818	Presber	+	112.801	11.66
819	My	+	157.359	9.7
